Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,490,624 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 105139. Total tensors loaded: 152
step 105301 | loss: 2.439567 | lr 1.9475e-05 | norm: 0.4853 | dt: 2078.53ms | img/sec: 1970.62
step 105302 | loss: 2.461258 | lr 1.9469e-05 | norm: 0.4796 | dt: 2063.45ms | img/sec: 1985.02
step 105303 | loss: 2.518113 | lr 1.9462e-05 | norm: 0.5090 | dt: 2098.21ms | img/sec: 1952.14
step 105304 | loss: 2.513494 | lr 1.9456e-05 | norm: 0.4806 | dt: 2090.46ms | img/sec: 1959.38
step 105305 | loss: 2.478682 | lr 1.9449e-05 | norm: 0.4918 | dt: 2082.41ms | img/sec: 1966.95
step 105306 | loss: 2.460198 | lr 1.9443e-05 | norm: 0.4797 | dt: 2097.65ms | img/sec: 1952.66
step 105307 | loss: 2.545112 | lr 1.9436e-05 | norm: 0.4916 | dt: 2069.34ms | img/sec: 1979.38
step 105308 | loss: 2.434186 | lr 1.9429e-05 | norm: 0.4891 | dt: 2139.37ms | img/sec: 1914.58
step 105309 | loss: 2.442161 | lr 1.9423e-05 | norm: 0.4765 | dt: 2077.97ms | img/sec: 1971.16
step 105310 | loss: 2.508738 | lr 1.9416e-05 | norm: 0.4915 | dt: 2091.67ms | img/sec: 1958.25
step 105311 | loss: 2.481519 | lr 1.9409e-05 | norm: 0.4860 | dt: 2081.40ms | img/sec: 1967.90
step 105312 | loss: 2.548298 | lr 1.9402e-05 | norm: 0.4857 | dt: 2128.63ms | img/sec: 1924.24
step 105313 | loss: 2.514912 | lr 1.9395e-05 | norm: 0.4885 | dt: 2061.43ms | img/sec: 1986.97
step 105314 | loss: 2.489580 | lr 1.9388e-05 | norm: 0.4819 | dt: 2069.33ms | img/sec: 1979.38
step 105315 | loss: 2.495095 | lr 1.9382e-05 | norm: 0.4801 | dt: 2258.43ms | img/sec: 1813.65
step 105316 | loss: 2.501755 | lr 1.9375e-05 | norm: 0.4994 | dt: 2127.99ms | img/sec: 1924.82
step 105317 | loss: 2.502754 | lr 1.9368e-05 | norm: 0.4855 | dt: 2090.50ms | img/sec: 1959.34
step 105318 | loss: 2.543012 | lr 1.9360e-05 | norm: 0.4789 | dt: 2079.60ms | img/sec: 1969.61
step 105319 | loss: 2.448946 | lr 1.9353e-05 | norm: 0.4819 | dt: 2079.50ms | img/sec: 1969.71
step 105320 | loss: 2.473380 | lr 1.9346e-05 | norm: 0.4829 | dt: 2235.64ms | img/sec: 1832.14
step 105321 | loss: 2.481080 | lr 1.9339e-05 | norm: 0.4736 | dt: 2067.42ms | img/sec: 1981.21
step 105322 | loss: 2.530243 | lr 1.9332e-05 | norm: 0.4756 | dt: 2088.27ms | img/sec: 1961.43
step 105323 | loss: 2.432334 | lr 1.9325e-05 | norm: 0.4777 | dt: 2142.83ms | img/sec: 1911.49
step 105324 | loss: 2.438242 | lr 1.9317e-05 | norm: 0.4974 | dt: 2129.42ms | img/sec: 1923.53
step 105325 | loss: 2.427843 | lr 1.9310e-05 | norm: 0.4675 | dt: 2142.08ms | img/sec: 1912.16
step 105326 | loss: 2.567851 | lr 1.9303e-05 | norm: 0.5024 | dt: 2107.75ms | img/sec: 1943.30
step 105327 | loss: 2.472933 | lr 1.9295e-05 | norm: 0.4826 | dt: 2121.45ms | img/sec: 1930.75
step 105328 | loss: 2.465217 | lr 1.9288e-05 | norm: 0.4725 | dt: 2125.69ms | img/sec: 1926.90
step 105329 | loss: 2.491629 | lr 1.9280e-05 | norm: 0.4772 | dt: 2210.45ms | img/sec: 1853.01
step 105330 | loss: 2.463357 | lr 1.9273e-05 | norm: 0.4894 | dt: 2201.35ms | img/sec: 1860.67
step 105331 | loss: 2.465763 | lr 1.9265e-05 | norm: 0.4863 | dt: 2113.17ms | img/sec: 1938.32
step 105332 | loss: 2.485646 | lr 1.9258e-05 | norm: 0.4899 | dt: 2094.34ms | img/sec: 1955.74
step 105333 | loss: 2.503274 | lr 1.9250e-05 | norm: 0.4823 | dt: 2095.88ms | img/sec: 1954.31
step 105334 | loss: 2.403914 | lr 1.9243e-05 | norm: 0.4869 | dt: 2136.95ms | img/sec: 1916.75
step 105335 | loss: 2.476904 | lr 1.9235e-05 | norm: 0.4765 | dt: 2142.71ms | img/sec: 1911.60
step 105336 | loss: 2.447635 | lr 1.9227e-05 | norm: 0.4829 | dt: 2194.00ms | img/sec: 1866.91
step 105337 | loss: 2.415316 | lr 1.9219e-05 | norm: 0.4767 | dt: 2083.80ms | img/sec: 1965.64
step 105338 | loss: 2.466803 | lr 1.9212e-05 | norm: 0.4950 | dt: 2142.57ms | img/sec: 1911.73
step 105339 | loss: 2.510239 | lr 1.9204e-05 | norm: 0.4877 | dt: 2086.15ms | img/sec: 1963.42
step 105340 | loss: 2.480338 | lr 1.9196e-05 | norm: 0.4868 | dt: 2095.57ms | img/sec: 1954.59
step 105341 | loss: 2.480533 | lr 1.9188e-05 | norm: 0.4890 | dt: 2090.98ms | img/sec: 1958.89
step 105342 | loss: 2.500010 | lr 1.9180e-05 | norm: 0.5027 | dt: 2135.03ms | img/sec: 1918.47
step 105343 | loss: 2.476297 | lr 1.9172e-05 | norm: 0.4881 | dt: 2205.41ms | img/sec: 1857.25
step 105344 | loss: 2.476219 | lr 1.9164e-05 | norm: 0.4754 | dt: 2145.86ms | img/sec: 1908.79
step 105345 | loss: 2.492374 | lr 1.9156e-05 | norm: 0.4929 | dt: 2252.73ms | img/sec: 1818.24
