Global Batch Size: 4096
Micro Batch Size (B): 1024
Number of GPUs: 1
Gradient Accumulation Steps: 4
/venv/main/lib/python3.12/site-packages/webdataset/compat.py:381: UserWarning: set WebDataset(shardshuffle=...) to a positive integer or 0 or False
  warnings.warn("set WebDataset(shardshuffle=...) to a positive integer or 0 or False")
Decay params: 52 tensors, 86,444,544 elements
Non-decay params: 100 tensors, 123,112 elements
Using fused AdamW: True
SOTA SPRINT: Weights successfully mapped (File -> Model).
Resuming from step 93599. Total tensors loaded: 152
step 93794 | loss: 2.701814 | lr 9.4231e-04 | norm: 2.1681 | dt: 1659.45ms | img/sec: 2468.29
step 93795 | loss: 2.700365 | lr 9.4712e-04 | norm: 2.0538 | dt: 1644.90ms | img/sec: 2490.12
step 93796 | loss: 2.661983 | lr 9.5192e-04 | norm: 1.8545 | dt: 1720.85ms | img/sec: 2380.21
step 93797 | loss: 2.743909 | lr 9.5673e-04 | norm: 2.2789 | dt: 1701.66ms | img/sec: 2407.06
step 93798 | loss: 2.823569 | lr 9.6154e-04 | norm: 1.8954 | dt: 1650.06ms | img/sec: 2482.33
step 93799 | loss: 2.713756 | lr 9.6635e-04 | norm: 2.0021 | dt: 1688.96ms | img/sec: 2425.17
step 93800 | loss: 2.690023 | lr 9.7115e-04 | norm: 1.5621 | dt: 1664.93ms | img/sec: 2460.16
step 93801 | loss: 2.695033 | lr 9.7596e-04 | norm: 1.5317 | dt: 1706.12ms | img/sec: 2400.78
step 93802 | loss: 2.846011 | lr 9.8077e-04 | norm: 2.1894 | dt: 1694.01ms | img/sec: 2417.93
step 93803 | loss: 2.731219 | lr 9.8558e-04 | norm: 1.9902 | dt: 1651.35ms | img/sec: 2480.40
step 93804 | loss: 2.645990 | lr 9.9038e-04 | norm: 1.8615 | dt: 1693.21ms | img/sec: 2419.07
step 93805 | loss: 2.670459 | lr 9.9519e-04 | norm: 1.6633 | dt: 1657.97ms | img/sec: 2470.50
